analysis_tier,contrast,winsor_quantile,pooled_cap,n_treatment,n_comparison,mean_treatment_winsorized,mean_comparison_winsorized,absolute_effect,ci_low,ci_high,p_raw,p_holm,method
confirmatory,P1,0.995,68.3713499999993,21307,21306,0.6682548857183042,0.3238215174129328,0.34443336830537136,0.24157105450587543,0.44729568210486725,5.335893429456496e-11,1.0671786858912991e-10,pooled P99.5 winsorization; two-sided Welch test and CI
confirmatory,P2,0.995,68.3713499999993,21387,21306,0.49349950437181095,0.3238215174129328,0.16967798695887815,0.07525706858174139,0.2640989053360149,0.0004283907075923641,0.0004283907075923641,pooled P99.5 winsorization; two-sided Welch test and CI
secondary,S1,0.995,68.3713499999993,21307,21387,0.6682548857183042,0.49349950437181095,0.1747553813464932,0.06358195290197874,0.28592880979100765,0.0020644769041697707,,pooled P99.5 winsorization; two-sided Welch test and CI
