analysis_tier,contrast,metric,n_treatment,n_control,mean_treatment,mean_control,absolute_effect,relative_effect,ci_level,ci_scope,ci_low,ci_high,p_raw,p_adjusted,method,welch_ci_low,welch_ci_high
confirmatory,P1,spend,21307,21306,1.422616511005773,0.6527893551112361,0.7698271558945368,1.1792887703620063,0.95,marginal,0.4873695009063018,1.0570259414698746,1.1638149682254818e-07,2.3276299364509635e-07,bootstrap percentile CI; two-sided Welch p,0.4851397325684076,1.0545145792206658
confirmatory,P2,spend,21387,21306,1.0772015710478329,0.6527893551112361,0.4244122159365967,0.6501518638646863,0.95,marginal,0.171400047005252,0.6821968313661328,0.0011293971023632495,0.0011293971023632495,bootstrap percentile CI; two-sided Welch p,0.16895678988377877,0.6798676419894147
secondary,S1,spend,21307,21387,1.422616511005773,1.0772015710478329,0.34541493995794004,0.32065952115344803,0.95,marginal,0.027913965609670334,0.6552200329443864,0.03046865118529923,,bootstrap percentile CI; two-sided Welch p,0.03256144962609531,0.6582684302897848
supportive,P1,visit,21307,21306,0.18275684047496127,0.10616727682343002,0.07658956365153125,0.721404616781399,0.95,marginal,0.06995350121810838,0.08322562608495411,5.685165482802317e-112,,unpooled Wald CI; two-proportion z p (exploratory),,
supportive,P2,visit,21387,21306,0.151400383410483,0.10616727682343002,0.045233106587052985,0.4260550702669102,0.95,marginal,0.03889382581264261,0.05157238736146336,3.1824031593349214e-44,,unpooled Wald CI; two-proportion z p (exploratory),,
secondary,S1,visit,21307,21387,0.18275684047496127,0.151400383410483,0.03135645706447826,0.20710949574984452,0.95,marginal,0.02428507102723248,0.03842784310172404,3.802165220636663e-18,,unpooled Wald CI; two-proportion z p (exploratory),,
supportive,P1,conversion,21307,21306,0.01253109306800582,0.005726086548390125,0.006805006519615695,1.188421876286328,0.95,marginal,0.005000171380452313,0.008609841658779076,1.5232235005955427e-13,,unpooled Wald CI; two-proportion z p (exploratory),,
supportive,P2,conversion,21387,21306,0.008837144059475383,0.005726086548390125,0.003111057511085258,0.5433130436982172,0.95,marginal,0.0014986778214022348,0.004723437200768281,0.00015710512910668448,,unpooled Wald CI; two-proportion z p (exploratory),,
secondary,S1,conversion,21307,21387,0.01253109306800582,0.008837144059475383,0.003693949008530437,0.4180025790764045,0.95,marginal,0.0017435127374671971,0.005644385279593676,0.0002051537746568838,,unpooled Wald CI; two-proportion z p (exploratory),,
