contrast,metric,n,unadjusted_effect,unadjusted_ci_low,unadjusted_ci_high,adjusted_effect,adjusted_ci_low,adjusted_ci_high,adjusted_p_value,absolute_change_from_unadjusted,relative_change_from_unadjusted,same_direction,method,covariates
P1,spend,64000,0.7698271558945368,0.4873695009063018,1.0570259414698746,0.768810187409443,0.4843428986677119,1.053277476151174,1.1768207675916113e-07,-0.0010169684850938054,-0.001321034828801415,True,OLS/LPM with HC3 robust standard errors,"recency, log1p(history), mens, womens, newbie, C(zip_code), C(channel)"
P2,spend,64000,0.4244122159365967,0.171400047005252,0.6821968313661328,0.4275468125964098,0.17193473108774204,0.6831588941050776,0.0010442961062461385,0.0031345966598130826,0.007385736183148417,True,OLS/LPM with HC3 robust standard errors,"recency, log1p(history), mens, womens, newbie, C(zip_code), C(channel)"
P1,visit,64000,0.07658956365153125,0.06995350121810838,0.08322562608495411,0.07614594619943796,0.06960227162465002,0.0826896207742259,3.8839839064269427e-115,-0.00044361745209328673,-0.0057921396981927,True,OLS/LPM with HC3 robust standard errors,"recency, log1p(history), mens, womens, newbie, C(zip_code), C(channel)"
P2,visit,64000,0.045233106587052985,0.03889382581264261,0.05157238736146336,0.04550431211336126,0.03924501822064228,0.051763606006080244,4.5669140069838786e-46,0.00027120552630827827,0.005995730710786518,True,OLS/LPM with HC3 robust standard errors,"recency, log1p(history), mens, womens, newbie, C(zip_code), C(channel)"
P1,conversion,64000,0.006805006519615695,0.005000171380452313,0.008609841658779076,0.0067864937587503605,0.004983203443863268,0.008589784073637453,1.629707720436325e-13,-1.851276086533432e-05,-0.002720461885226788,True,OLS/LPM with HC3 robust standard errors,"recency, log1p(history), mens, womens, newbie, C(zip_code), C(channel)"
P2,conversion,64000,0.003111057511085258,0.0014986778214022348,0.004723437200768281,0.0031261081261709086,0.001514451186796943,0.004737765065544875,0.00014369833422756887,1.5050615085650774e-05,0.004837781054198631,True,OLS/LPM with HC3 robust standard errors,"recency, log1p(history), mens, womens, newbie, C(zip_code), C(channel)"
